Category,Product Name,Location,Price,Overall Rating,Number Sold,Total Review,Customer Rating,full_text,Sentiment,Emotion,original_tweet,cleaned_full_text
Computers and Laptops,Wireless Keyboard i8 Mini TouchPad Mouse 2.4G Handheld PC Android TV,Jakarta Utara,53500,4.9,5449,2369,5,Alhamdulillah berfungsi dengan baik. Packaging aman. Respon cepat dan ramah. Seller dan kurir amanah,Positive,Happy,Alhamdulillah berfungsi dengan baik. Packaging aman. Respon cepat dan ramah. Seller dan kurir amanah,Alhamdulillah berfungsi dengan baik . Packaging aman . Respon cepat dan ramah . Seller dan kurir amanah
Computers and Laptops,PAKET LISENSI WINDOWS 10 PRO DAN OFFICE 2019 ORIGINAL + BONUS,Kota Tangerang Selatan,72000,4.9,2359,1044,5,"barang bagus dan respon cepat, harga bersaing dengan yg lain.",Positive,Happy,"barang bagus dan respon cepat, harga bersaing dengan yg lain.","barang bagus dan respon cepat , harga bersaing dengan yg lain ."
Computers and Laptops,SSD Midasforce 128 Gb - Tanpa Caddy,Jakarta Barat,213000,5,12300,3573,5,"barang bagus, berfungsi dengan baik, seler ramah, pengiriman cepat",Positive,Happy,"barang bagus, berfungsi dengan baik, seler ramah, pengiriman cepat","barang bagus , berfungsi dengan baik , seler ramah , pengiriman cepat"
Computers and Laptops,ADAPTOR CHARGER MONITOR LCD LED TV LG merek LG 19V ORIGINAL,Jakarta Timur,55000,4.7,2030,672,5,bagus sesuai harapan penjual nya juga ramah. trimakasih pelapak ??,Positive,Happy,bagus sesuai harapan penjual nya juga ramah. trimakasih pelapak ??,bagus sesuai harapan penjual nya juga ramah . trimakasih pelapak ? ?
Computers and Laptops,ADAPTOR CHARGER MONITOR LCD LED TV LG merek LG 19V ORIGINAL,Jakarta Timur,55000,4.7,2030,672,5,"Barang Bagus, pengemasan Aman, dapat Berfungsi dengan Baik",Positive,Happy,"Barang Bagus, pengemasan Aman, dapat Berfungsi dengan Baik","Barang Bagus , pengemasan Aman , dapat Berfungsi dengan Baik"
Computers and Laptops,ADAPTOR CHARGER MONITOR LCD LED TV LG merek LG 19V ORIGINAL,Jakarta Timur,55000,4.7,2030,672,5,"barang bagus, seller ramah..",Positive,Happy,"barang bagus, seller ramah..","barang bagus , seller ramah . ."
Computers and Laptops,Kepala Colokan Listrik Charger Macbook untuk colokan Indonesia,Jakarta Selatan,85000,4.9,1339,718,5,mantap paten joss,Positive,Happy,mantap paten joss,mantap paten joss
Computers and Laptops,AFL Bidirectional HDMI Switcher 1-In 2-Out & 2-In 1-Out - AFU,Jakarta Barat,136500,5,1201,632,5,"Works fine. Respon seller cepat, barang berfungsi dengan baik. Recommended.",Positive,Happy,"Works fine. Respon seller cepat, barang berfungsi dengan baik. Recommended.","Works fine . Respon seller cepat , barang berfungsi dengan baik . Recommended ."
Computers and Laptops,AFL Bidirectional HDMI Switcher 1-In 2-Out & 2-In 1-Out - AFU,Jakarta Barat,136500,5,1201,632,5,barang bagus.. segel.. utuh.. original.. berfungsi dengan bener.. seller respon nya ajib.. cepat amir... uda gt kasi sarannya pas banget lg dengan kebutuhan.. mantabbb,Positive,Happy,barang bagus.. segel.. utuh.. original.. berfungsi dengan bener.. seller respon nya ajib.. cepat amir... uda gt kasi sarannya pas banget lg dengan kebutuhan.. mantabbb,barang bagus . . segel . . utuh . . original . . berfungsi dengan bener . . seller respon nya ajib . . cepat amir . . . uda gt kasi saran nya pas banget lg dengan kebutuhan . . mantabbb
Computers and Laptops,Adaptor Charger OriginaL Laptop Asus X441 X441U X441UV X441UA X441S,Jakarta Barat,113777,4.9,1630,777,5,Barang datang dan berfungsi dengan baik dan terlihat bagus kali ada lampu birunya.,Positive,Happy,Barang datang dan berfungsi dengan baik dan terlihat bagus kali ada lampu birunya.,Barang datang dan berfungsi dengan baik dan terlihat bagus kali ada lampu biru nya .
Computers and Laptops,Adaptor Charger OriginaL Laptop Asus X441 X441U X441UV X441UA X441S,Jakarta Barat,113777,4.9,1630,777,5,"Pengiriman super cepat, barang bagus, recommended seller, thanks",Positive,Happy,"Pengiriman super cepat, barang bagus, recommended seller, thanks","Pengiriman super cepat , barang bagus , recommended seller , thanks"
Computers and Laptops,Adaptor Charger Laptop Asus A455LA A455LD A455LB A455 A455L Original,Jakarta Utara,66000,4.8,2702,882,5,alhamdulillah barangnya udah nyampe... d coba bagus... semoga awet... terima kasih seller kurir dan tokopedia...,Positive,Happy,alhamdulillah barangnya udah nyampe... d coba bagus... semoga awet... terima kasih seller kurir dan tokopedia...,alhamdulillah barang nya udah nyampe . . . d coba bagus . . . semoga awet . . . terima kasih seller kurir dan tokopedia . . .
Computers and Laptops,Kabel Power Adaptor Charger Laptop 3 Lubang,Jakarta Pusat,25000,4.9,2122,828,5,"Penjual amanah, responsif. Kabel berfungsi baik. Pengiriman cepat. Terima kasih.",Positive,Happy,"Penjual amanah, responsif. Kabel berfungsi baik. Pengiriman cepat. Terima kasih.","Penjual amanah , responsif . Kabel berfungsi baik . Pengiriman cepat . Terima kasih ."
Computers and Laptops,Charger Adaptor Laptop Acer Aspire E14 E5-421 E5-431 E5-471 E5-475G,Jakarta Pusat,55000,4.9,2010,970,5,"Alhamdulillah barang sudah sampai, bisa dipakai semoga berfungsi dengan baik dan awet, kurirnya baik smoga rezekinya lancar terus",Positive,Happy,"Alhamdulillah barang sudah sampai, bisa dipakai semoga berfungsi dengan baik dan awet, kurirnya baik smoga rezekinya lancar terus","Alhamdulillah barang sudah sampai , bisa di pakai semoga berfungsi dengan baik dan awet , kurir nya baik smoga rezeki nya lancar terus"
Computers and Laptops,Cooling Pad Laptop Gaming 6 Fan Kipas Pendingin Laptop Kipas Cooler Q3,Kota Bandung,127880,4.9,1257,700,5,bagus. berjalan baik dan cukup silent. kokoh dan muat untuk laptop 16 inch,Positive,Happy,bagus. berjalan baik dan cukup silent. kokoh dan muat untuk laptop 16 inch,bagus . berjalan baik dan cukup silent . kokoh dan muat untuk laptop 16 inch
Computers and Laptops,Cooling Pad Laptop Gaming 6 Fan Kipas Pendingin Laptop Kipas Cooler Q3,Kota Bandung,127880,4.9,1257,700,5,"Packing aman, pengiriman cepat dan barang berfungsi dengan baik",Positive,Happy,"Packing aman, pengiriman cepat dan barang berfungsi dengan baik","Packing aman , pengiriman cepat dan barang berfungsi dengan baik"
Computers and Laptops,"kipas laptop cooling pad Ace cooling ergostand 15,6inch 1 fan",Jakarta Utara,80000,4.8,3982,1890,5,Produknya baik dan kualitasny good banget. produk sampai ke konsumen dalam kondisi baik. sesuai sih sama harga juga so overall very good lah ??,Positive,Happy,Produknya baik dan kualitasny good banget. produk sampai ke konsumen dalam kondisi baik. sesuai sih sama harga juga so overall very good lah ??,Produk nya baik dan kualitasny good banget . produk sampai ke konsumen dalam kondisi baik . sesuai sih sama harga juga so overall very good lah ? ?
Computers and Laptops,"kipas laptop cooling pad Ace cooling ergostand 15,6inch 1 fan",Jakarta Utara,80000,4.8,3982,1890,5,barang udah sampai ya gan dan berfungsi. terima kasih,Positive,Happy,barang udah sampai ya gan dan berfungsi. terima kasih,barang udah sampai ya gan dan berfungsi . terima kasih
Computers and Laptops,CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook,Kota Depok,55000,4.8,13900,6671,5,barang mantap sesuai deskripsi laptop jadi adem n sejuk,Positive,Happy,barang mantap sesuai deskripsi laptop jadi adem n sejuk,barang mantap sesuai deskripsi laptop jadi adem n sejuk
Computers and Laptops,CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook,Kota Depok,55000,4.8,13900,6671,5,"produk saya terima dengan kondisi baik, terima kasih ^^",Positive,Happy,"produk saya terima dengan kondisi baik, terima kasih ^^","produk saya terima dengan kondisi baik , terima kasih ^ ^"
Computers and Laptops,CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook,Kota Depok,55000,4.8,13900,6671,5,"belanja kedua kalinya, selalu puas. pengiriman lumayan cepat. overall bagus banget",Positive,Happy,"belanja kedua kalinya, selalu puas. pengiriman lumayan cepat. overall bagus banget","belanja kedua kali nya , selalu puas . pengiriman lumayan cepat . overall bagus banget"
Computers and Laptops,CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook,Kota Depok,55000,4.8,13900,6671,5,"Kualitas barang bagus, harga relatif murah, kiriman super cepat, response penjual baik, recommended seller, bintang 5, terima kasih yah, semoga SUKSES usaha-nya, aamiin ??????.",Positive,Happy,"Kualitas barang bagus, harga relatif murah, kiriman super cepat, response penjual baik, recommended seller, bintang 5, terima kasih yah, semoga SUKSES usaha-nya, aamiin ??????.","Kualitas barang bagus , harga relatif murah , kiriman super cepat , response penjual baik , recommended seller , bintang 5 , terima kasih yah , semoga SUKSES usaha - nya , aamiin ? ? ? ? ? ? ."
Computers and Laptops,Cooling Pad Gaming Ergostand Kipas Pendingin Laptop Big Fan Cooler Pad - KIPAS ERGOSTAND,Jakarta Barat,74900,4.7,3713,2153,5,mantab barang nya oke punya,Positive,Happy,mantab barang nya oke punya,mantab barang nya oke pu nya
Computers and Laptops,Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad,Jakarta Barat,112000,4.9,5988,2969,5,"pengiriman cepat, packing rapi, kualitas mantap",Positive,Happy,"pengiriman cepat, packing rapi, kualitas mantap","pengiriman cepat , packing rapi , kualitas mantap"
Computers and Laptops,Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad,Jakarta Barat,112000,4.9,5988,2969,5,silent dan bagus untuk pekerjaan ringan,Positive,Happy,silent dan bagus untuk pekerjaan ringan,silent dan bagus untuk pekerjaan ringan
Computers and Laptops,Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad,Jakarta Barat,112000,4.9,5988,2969,5,Barang cepat sampai. Kualitas bagus dan pengiriman aman tidak ada yang pecah. Manstapu ??????,Positive,Happy,Barang cepat sampai. Kualitas bagus dan pengiriman aman tidak ada yang pecah. Manstapu ??????,Barang cepat sampai . Kualitas bagus dan pengiriman aman tidak ada yang pecah . Manstapu ? ? ? ? ? ?
Computers and Laptops,Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad,Jakarta Barat,112000,4.9,5988,2969,5,"Bagus, berkualitas, sesuai gbr. Makasih Seller, Tokped dan Kurir",Positive,Happy,"Bagus, berkualitas, sesuai gbr. Makasih Seller, Tokped dan Kurir","Bagus , berkualitas , sesuai gbr . Makasih Seller , Tokped dan Kurir"
Computers and Laptops,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",Kota Surabaya,385000,5,2716,1843,5,"mantap kipasnya kenceng, barangnya berkualitas sesuai sama harga",Positive,Happy,"mantap kipasnya kenceng, barangnya berkualitas sesuai sama harga","mantap kipas nya kenceng , barang nya berkualitas sesuai sama harga"
Computers and Laptops,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",Kota Surabaya,385000,5,2716,1843,5,mantap proses pengerjaan dan pengiriman juga barang sesuai dengan deskripsi,Positive,Happy,mantap proses pengerjaan dan pengiriman juga barang sesuai dengan deskripsi,mantap proses pengerjaan dan pengiriman juga barang sesuai dengan deskripsi
Computers and Laptops,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",Kota Surabaya,385000,5,2716,1843,5,"mantap kipasnya kenceng, barangnya berkualitas sesuai sama harga",Positive,Happy,"mantap kipasnya kenceng, barangnya berkualitas sesuai sama harga","mantap kipas nya kenceng , barang nya berkualitas sesuai sama harga"
Computers and Laptops,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",Kota Surabaya,385000,5,2716,1843,5,Penjualnya Ramah Melayani Pembeli Dengan Sabar dan Memberikan Berbagai Saran Yang Pembeli Tidak Tahu ... Mantap Lah ??????,Positive,Happy,Penjualnya Ramah Melayani Pembeli Dengan Sabar dan Memberikan Berbagai Saran Yang Pembeli Tidak Tahu ... Mantap Lah ??????,Penjual nya Ramah Melayani Pembeli Dengan Sabar dan Memberikan Berbagai Saran Yang Pembeli Tidak Tahu . . . Mantap Lah ? ? ? ? ? ?
Computers and Laptops,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",Kota Surabaya,385000,5,2716,1843,5,"barang sampai dengan cepat, packingnya rapi dan amat sekali, tidak ada bagian acrylic yang pecah. berfungsi dengan baik. semoga awet.",Positive,Happy,"barang sampai dengan cepat, packingnya rapi dan amat sekali, tidak ada bagian acrylic yang pecah. berfungsi dengan baik. semoga awet.","barang sampai dengan cepat , packing nya rapi dan amat sekali , tidak ada bagian acrylic yang pecah . berfungsi dengan baik . semoga awet ."
Computers and Laptops,MacBook Skin Keyboard Protector TRANSPARANT BENING - A2141 A2289,Jakarta Utara,15000,4.9,690,338,5,Sangat presisi dan pas,Positive,Happy,Sangat presisi dan pas,Sangat presisi dan pas
Computers and Laptops,MacBook Skin Keyboard Protector TRANSPARANT BENING - A2141 A2289,Jakarta Utara,15000,4.9,690,338,5,"Puas banget, seller helpfull, sangat responsif dan cepet banget sampai nya, recomended...",Positive,Happy,"Puas banget, seller helpfull, sangat responsif dan cepet banget sampai nya, recomended...","Puas banget , seller helpfull , sangat responsif dan cepet banget sampai nya , recomended . . ."
Computers and Laptops,MacBook Skin Keyboard Protector TRANSPARANT BENING - A2141 A2289,Jakarta Utara,15000,4.9,690,338,5,"Mantappp, responnya juga memuaskan. sudah dicoba dan dipasang presisi dan nyaman. CAs Juga responsif",Positive,Happy,"Mantappp, responnya juga memuaskan. sudah dicoba dan dipasang presisi dan nyaman. CAs Juga responsif","Mantappp , respon nya juga memuaskan . sudah di coba dan di pasang presisi dan nyaman . CAs Juga responsif"
Computers and Laptops,"Logitech Bluetooth Keyboard K380 , K 380 , K-380 - Hitam",Jakarta Barat,365000,5,2554,1396,5,Mantap barangnya cepet sampai dan enak digunainnya!,Positive,Happy,Mantap barangnya cepet sampai dan enak digunainnya!,Mantap barang nya cepet sampai dan enak di gunain nya !
Computers and Laptops,"Logitech Bluetooth Keyboard K380 , K 380 , K-380 - Hitam",Jakarta Barat,365000,5,2554,1396,5,"Barang bagus,oke, cepat pengirimannya juga",Positive,Happy,"Barang bagus,oke, cepat pengirimannya juga","Barang bagus , oke , cepat pengiriman nya juga"
Computers and Laptops,"Logitech Bluetooth Keyboard K380 , K 380 , K-380 - Hitam",Jakarta Barat,365000,5,2554,1396,5,"Pengiriman cepat, seller responsif ??",Positive,Happy,"Pengiriman cepat, seller responsif ??","Pengiriman cepat , seller responsif ? ?"
Computers and Laptops,Wireless Keyboard i8 Mini TouchPad Mouse 2.4G Handheld PC Android TV,Jakarta Utara,53500,4.9,5449,2369,5,Barang berfungsi baik. Pemilik toko sangat responsif dan membantu saat ada sedikit kendala. Sukses tokonya ya gan ??????,Positive,Happy,Barang berfungsi baik. Pemilik toko sangat responsif dan membantu saat ada sedikit kendala. Sukses tokonya ya gan ??????,Barang berfungsi baik . Pemilik toko sangat responsif dan membantu saat ada sedikit kendala . Sukses toko nya ya gan ? ? ? ? ? ?
Computers and Laptops,Wireless Keyboard i8 Mini TouchPad Mouse 2.4G Handheld PC Android TV,Jakarta Utara,53500,4.9,5449,2369,5,"seller luar biasa.. packing baik, pengiriman cepat, penting nya barang sesuai deskripsi dan berfungsi. terima kasih..",Positive,Happy,"seller luar biasa.. packing baik, pengiriman cepat, penting nya barang sesuai deskripsi dan berfungsi. terima kasih..","seller luar biasa . . packing baik , pengiriman cepat , penting nya barang sesuai deskripsi dan berfungsi . terima kasih . ."
Computers and Laptops,[FS] Logitech MK275 Wireless Keyboard Mouse Combo,Jakarta Timur,200000,4.9,3186,1525,5,Bagus banget keyboardnya. Packing sangat aman karena double kardus. Warna juga keren.,Positive,Love,Bagus banget keyboardnya. Packing sangat aman karena double kardus. Warna juga keren.,Bagus banget keyboard nya . Packing sangat aman karena double kardus . Warna juga keren .
Computers and Laptops,Samoon Ace USB Cooling pad / Coolpad / Cooler / Kipas Pendingin Laptop,Kota Malang,46000,4.7,1311,500,5,"AAAA BAGUS BANGET PENGIRIMANNYA CEPATT DAN AMAN JUGA PACKAGING NYA, BISA NYALA JUGA TDI UDH DICOBA,, BELI DGN HARGA RP0 SENENGGGBANGETT",Positive,Love,"AAAA BAGUS BANGET PENGIRIMANNYA CEPATT DAN AMAN JUGA PACKAGING NYA, BISA NYALA JUGA TDI UDH DICOBA,, BELI DGN HARGA RP0 SENENGGGBANGETT","AAAA BAGUS BANGET PENGIRIMAN NYA CEPATT DAN AMAN JUGA PACKAGING NYA , BISA NYALA JUGA TDI UDH DICOBA , , BELI DGN HARGA RP 0 SENENGGGBANGETT"
Computers and Laptops,Charger Adaptor MacBook Pro 2008 2009 2010 2011 2012 Magsafe 1 60W ORI,Jakarta Pusat,230000,4.9,1408,721,5,"Terima Kasihh Boss, Mantappss.. Smoga Lancarr n Berkah Rezekinya..Smngttt Boss ??????",Positive,Love,"Terima Kasihh Boss, Mantappss.. Smoga Lancarr n Berkah Rezekinya..Smngttt Boss ??????","Terima Kasihh Boss , Mantappss . . Smoga Lancarr n Berkah Rezeki nya . . Smngttt Boss ? ? ? ? ? ?"
Computers and Laptops,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",Kota Surabaya,385000,5,2716,1843,5,barangnya buwaguusss.... sesuai pesanan.... angin nya kencang... seperti angin puting beliung.... laptop ademmmm benerrr,Positive,Love,barangnya buwaguusss.... sesuai pesanan.... angin nya kencang... seperti angin puting beliung.... laptop ademmmm benerrr,barang nya buwaguusss . . . . sesuai pesanan . . . . angin nya kencang . . . seperti angin puting beliung . . . . laptop ademmmm benerrr
Computers and Laptops,Xiaomi Xiaovv Webcam 1080P USB Camera Full HD with Mic Webcast Live,Jakarta Barat,188000,4.9,3451,1651,5,"mantap bgt, kualitas beneran sama kaya webcam sejutaan",Positive,Love,"mantap bgt, kualitas beneran sama kaya webcam sejutaan","mantap bgt , kualitas beneran sama kaya webcam sejutaan"
Computers and Laptops,Xiaomi Xiaovv Webcam 1080P USB Camera Full HD with Mic Webcast Live,Jakarta Barat,188000,4.9,3451,1651,5,"sampai dengan selamat, mulus dan berfungsi sempurna. Seller mau sabar dikonsultasikan dan mengemas dengan aman. Recommended",Positive,Love,"sampai dengan selamat, mulus dan berfungsi sempurna. Seller mau sabar dikonsultasikan dan mengemas dengan aman. Recommended","sampai dengan selamat , mulus dan berfungsi sempurna . Seller mau sabar di konsultasikan dan mengemas dengan aman . Recommended"
Computers and Laptops,Logitech G102 Lightsync Gaming Mouse [FS] - Hitam,Jakarta Pusat,379000,4.9,3185,1829,5,"Proses pesanan dan pengiriman barang cukup cepat, produk sesuai deskripsi, seller responsif, sukses dan tetap jaga protokol kesehatan ya seller! Terima kasih.",Positive,Love,"Proses pesanan dan pengiriman barang cukup cepat, produk sesuai deskripsi, seller responsif, sukses dan tetap jaga protokol kesehatan ya seller! Terima kasih.","Proses pesanan dan pengiriman barang cukup cepat , produk sesuai deskripsi , seller responsif , sukses dan tetap jaga protokol kesehatan ya seller ! Terima kasih ."
Computers and Laptops,SanDisk Ultra MicroSD 32GB A1 microSDHC UHS-I micro sd - No Adapter,Jakarta Pusat,75900,4.9,6754,3507,5,"Penjual ramah, barangnya bagus, sesuai dgn pesanan, packing rapi, padahal cmn pesan 1 ??????????....",Positive,Love,"Penjual ramah, barangnya bagus, sesuai dgn pesanan, packing rapi, padahal cmn pesan 1 ??????????....","Penjual ramah , barang nya bagus , sesuai dgn pesanan , packing rapi , padahal cmn pesan 1 ? ? ? ? ? ? ? ? ? ? . . . ."
Computers and Laptops,[BARU] RAM / MEMORY SAMSUNG PC DDR3 8GB,Jakarta Selatan,308000,4.9,3168,813,5,"Selamat Siang Bos, pesanan sudah saya terima. Belum di Pasang / di Coba. Packing sangat RAPI dan aman. Product MANTAP. Pokoknya TOP MARKOTOP. PELAYANAN sangat OKE. TOKO sangat RECOMENDED sekali. Makasih banyak atas semuanya. Salam Sukses, Sehat dan Sejahtera Selalu. Aamiin",Positive,Love,"Selamat Siang Bos, pesanan sudah saya terima. Belum di Pasang / di Coba. Packing sangat RAPI dan aman. Product MANTAP. Pokoknya TOP MARKOTOP. PELAYANAN sangat OKE. TOKO sangat RECOMENDED sekali. Makasih banyak atas semuanya. Salam Sukses, Sehat dan Sejahtera Selalu. Aamiin","Selamat Siang Bos , pesanan sudah saya terima . Belum di Pasang / di Coba . Packing sangat RAPI dan aman . Product MANTAP . Pokok nya TOP MARKOTOP . PELAYANAN sangat OKE . TOKO sangat RECOMENDED sekali . Makasih banyak atas semua nya . Salam Sukses , Sehat dan Sejahtera Selalu . Aamiin"
Computers and Laptops,[BARU] RAM / MEMORY SAMSUNG PC DDR3 8GB,Jakarta Selatan,308000,4.9,3168,813,5,Recommended Seller??????,Positive,Love,Recommended Seller??????,Recommended Seller ? ? ? ? ? ?
Computers and Laptops,Logitech M191 Mouse Wireless Full Size - Mid Grey,Jakarta Timur,119000,4.9,9777,5546,1,Sangat kecewa. Baru 4 bulan scroll sudah rusak.,Negative,Sadness,Sangat kecewa. Baru 4 bulan scroll sudah rusak.,Sangat kecewa . Baru 4 bulan scroll sudah rusak .
Computers and Laptops,Adaptor Charger OriginaL Laptop Asus X441 X441U X441UV X441UA X441S,Jakarta Barat,113777,4.9,1630,777,1,"jelek, yg pasti jauh dari ori. mousepad jd ga bs dipakai kl di charger, jd getar parah. barang ga sesui foto, kayak barang lapak sebelah yg harga 80rban. padahal sebelumnya pernah beli disini dan bagus,persis spt foto yg ada indikator di ujung charger. makanya order disini lg walaupun sedikit mahal ternyata barangnya tdk sama dgn order sebelumnya",Negative,Sadness,"jelek, yg pasti jauh dari ori. mousepad jd ga bs dipakai kl di charger, jd getar parah. barang ga sesui foto, kayak barang lapak sebelah yg harga 80rban. padahal sebelumnya pernah beli disini dan bagus,persis spt foto yg ada indikator di ujung charger. makanya order disini lg walaupun sedikit mahal ternyata barangnya tdk sama dgn order sebelumnya","jelek , yg pasti jauh dari ori . mousepad jd ga bs di pakai kl di charger , jd getar parah . barang ga sesui foto , kayak barang lapak sebelah yg harga 80 rban . padahal sebelum nya pernah beli di sini dan bagus , persis spt foto yg ada indikator di ujung charger . maka nya order di sini lg walaupun sedikit mahal ternyata barang nya tdk sama dgn order sebelum nya"
Computers and Laptops,Kabel Power Adaptor Charger Laptop 3 Lubang,Jakarta Pusat,25000,4.9,2122,828,1,gak bisa di pakai??,Negative,Sadness,gak bisa di pakai??,gak bisa di pakai ? ?
Computers and Laptops,Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad,Jakarta Barat,112000,4.9,5988,2969,1,Kecewa parah nggk berkah jualan gitu,Negative,Sadness,Kecewa parah nggk berkah jualan gitu,Kecewa parah nggk berkah jualan gitu
